user,uid,proc_pid,proc_ppid,path,argv,conn_id,timestamp_epoch_ms,source_port,dest_port,ip_version,source_ip,dest_ip,byte_cnt,packet_cnt
,0,9399,9397,/usr/bin/perl,,4036378624,1371797369490,46021,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,9399,9397,/usr/bin/perl,,4036378624,1371797373493,46023,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,9450,9448,/usr/bin/perl,,4134135488,1371797368960,51518,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797369090,57891,53,4,10.32.92.230,70.0.0.1,168,3
,0,9399,9397,/usr/bin/perl,,4036378624,1371797377497,46025,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9399,9397,/usr/bin/perl,,4036378624,1371797381500,46027,6667,4,10.32.92.230,69.42.215.170,560,10
,0,9399,9397,/usr/bin/perl,,4036378624,1371797385504,46029,6667,4,10.32.92.230,69.42.215.170,1960,35
,0,9399,9397,/usr/bin/perl,,4036378624,1371797389508,46031,6667,4,10.32.92.230,69.42.215.170,1960,35
,0,9399,9397,/usr/bin/perl,,4036378624,1371797393511,46033,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9450,9448,/usr/bin/perl,,4134135488,1371797388965,44442,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797389098,33219,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4036378624,1371797397515,46035,6667,4,10.32.92.230,69.42.215.170,1400,25
,0,9399,9397,/usr/bin/perl,,4036378624,1371797401519,46037,6667,4,10.32.92.230,69.42.215.170,1120,20
,0,9399,9397,/usr/bin/perl,,4036378624,1371797405523,46039,6667,4,10.32.92.230,69.42.215.170,840,15
,0,9399,9397,/usr/bin/perl,,4036378624,1371797409526,46041,6667,4,10.32.92.230,69.42.215.170,560,10
,0,3476,3475,/sbin/ttymon,ttymon,4035318272,1371797404002,0,0,4,10.32.92.230,210.163.43.1,1044,1
,0,9399,9397,/usr/bin/perl,,4036378624,1371797413530,46043,6667,4,10.32.92.230,69.42.215.170,1680,30
,0,9450,9448,/usr/bin/perl,,4134135488,1371797408967,41637,53,4,10.32.92.230,70.0.0.1,224,4
,0,9455,9453,/usr/bin/perl,,4134134912,1371797409100,39637,53,4,10.32.92.230,70.0.0.1,224,4
,0,9399,9397,/usr/bin/perl,,4036378624,1371797417533,46045,6667,4,10.32.92.230,69.42.215.170,1680,30
